updated_at,usd_rate,gbp_rate,eur_rate
"Oct 26, 2023 22:38:00 UTC","34,203.7481","28,580.3782","33,319.4443"
"Oct 26, 2023 22:39:00 UTC","34,203.6592","28,580.3040","33,319.3578"
"Oct 26, 2023 22:40:00 UTC","34,205.0284","28,581.4480","33,320.6915"
"Oct 26, 2023 22:41:00 UTC","34,191.5492","28,570.1850","33,307.5609"
"Oct 26, 2023 22:42:00 UTC","34,196.7762","28,574.5526","33,312.6528"
"Oct 26, 2023 22:43:00 UTC","34,207.4025","28,583.4318","33,323.0043"
"Oct 26, 2023 22:44:00 UTC","34,206.3622","28,582.5626","33,321.9909"
"Oct 26, 2023 22:45:00 UTC","34,204.5690","28,581.0642","33,320.2441"
"Oct 26, 2023 22:46:00 UTC","34,219.7163","28,593.7212","33,334.9997"
"Oct 26, 2023 22:47:00 UTC","34,199.6350","28,576.9414","33,315.4376"
"Oct 26, 2023 22:48:00 UTC","34,204.8975","28,581.3387","33,320.5641"
"Oct 26, 2023 22:49:00 UTC","34,198.3424","28,575.8613","33,314.1785"
"Oct 26, 2023 22:50:00 UTC","34,198.8575","28,576.2918","33,314.6803"
"Oct 26, 2023 22:51:00 UTC","34,183.4388","28,563.4080","33,299.6602"
"Oct 26, 2023 22:52:00 UTC","34,179.9835","28,560.5208","33,296.2942"
"Oct 26, 2023 22:53:00 UTC","34,165.9291","28,548.7770","33,282.6032"
"Oct 26, 2023 22:54:00 UTC","34,171.3997","28,553.3482","33,287.9323"
"Oct 26, 2023 22:55:00 UTC","34,198.3974","28,575.9073","33,314.2320"
"Oct 26, 2023 22:56:00 UTC","34,212.4330","28,587.6353","33,327.9048"
"Oct 26, 2023 22:57:00 UTC","34,227.2327","28,600.0019","33,342.3219"
"Oct 26, 2023 22:58:00 UTC","34,227.9264","28,600.5815","33,342.9976"
"Oct 26, 2023 22:59:00 UTC","34,237.2499","28,608.3721","33,352.0801"
"Oct 26, 2023 23:00:00 UTC","34,237.2019","28,608.3320","33,352.0333"
"Oct 26, 2023 23:01:00 UTC","34,247.0642","28,616.5729","33,361.6406"
"Oct 26, 2023 23:02:00 UTC","34,244.3500","28,614.3049","33,358.9966"
"Oct 26, 2023 23:03:00 UTC","34,221.6503","28,595.3372","33,336.8838"
"Oct 26, 2023 23:04:00 UTC","34,218.4011","28,592.6222","33,333.7185"
"Oct 26, 2023 23:05:00 UTC","34,213.1347","28,588.2217","33,328.5883"
"Oct 26, 2023 23:06:00 UTC","34,212.9231","28,588.0448","33,328.3821"
"Oct 26, 2023 23:07:00 UTC","34,206.6577","28,582.8095","33,322.2788"
"Oct 26, 2023 23:08:00 UTC","34,209.5077","28,585.1910","33,325.0551"
"Oct 26, 2023 23:09:00 UTC","34,222.2478","28,595.8365","33,337.4658"
"Oct 26, 2023 23:10:00 UTC","34,228.8418","28,601.3464","33,343.8894"
"Oct 26, 2023 23:11:00 UTC","34,225.1828","28,598.2889","33,340.3249"
"Oct 26, 2023 23:12:00 UTC","34,237.9835","28,608.9851","33,352.7947"
